id,source,record_type,degree_injury_cd,degree_injury,date,year,mine_id,coal_metal,subunit,classification,accident_type,activity,injury_source,nature_injury,body_part,days_lost,no_injuries,mining_equipment,is_oilgas,oilgas_score,oilgas_terms,actual_injury,actual_fatality,narrative,narrative_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids,split_hint
msha_000001,msha,no_injury_event,00,ACCIDENT ONLY,2025-06-04,2025,0100851,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The SP Elevator was taken out of service due to the elevator company dropping one of the ropes. The ropes were being tensioned as part of the service contract when the company performing service allowed a single rope to fall to the car.,43,The SP Elevator was taken out of service due to the elevator company dropping one of the ropes. The ropes were being tensioned as part of the service contract when the company performing service allowed a single rope to fall to the car.,False,,,,train_candidate
msha_000003,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2025-12-27,2025,0200024,M,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,Over-exertion in lifting objects,Handling supplies or material,"CONTAINERS,NEC",HERNIA;RUPTURE,ABDOMEN/INTERNAL ORGANS,0,1,NO VALUE FOUND,False,0,[],True,False,"Employee was lifting 50-pound bucket, when they felt a pull in their abdomen. There was no pain, so employee continued working. Employee noticed a bump after they went home. Employee reported it the following morning start of shift. incident occurred at the Lone Star array site.",46,"Employee was lifting 50-pound bucket, when they felt a pull in their abdomen. There was no pain, so employee continued working. Employee noticed a bump after they went home. Employee reported it the following morning start of shift. incident occurred at the Lone Star array site.",False,,,,train_candidate
msha_000006,msha,no_injury_event,00,ACCIDENT ONLY,2021-03-03,2021,0200144,M,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,An operator reported that there was a brushfire burning in the canyon below the Half Million Tank. This is on the west side of the pit in an unmanned/unmined area. Fire cause to be determined however it appears that two power line touched and sparked from the excessive winds.,49,An operator reported that there was a brushfire burning in the canyon below the Half Million Tank. This is on the west side of the pit in an unmanned/unmined area. Fire cause to be determined however it appears that two power line touched and sparked from the excessive winds.,False,,,,train_candidate
msha_000009,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2025-08-11,2025,0400743,M,MILL OPERATION/PREPARATION PLANT,POWERED HAULAGE,"Caught in, under or between running or meshing objects",Machine maintenance,CHUTE & SLIDE-CONVYR HOPR,AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,,1,Chute,False,0,[],True,False,"An employee was attempting to clear a blockage in the dust collector chute. While reaching in to free a pole that was being used, the employee's glove became entangled in a rotating component of the equipment. This resulted in the amputation of three fingers.",44,"An employee was attempting to clear a blockage in the dust collector chute. While reaching in to free a pole that was being used, the employee's glove became entangled in a rotating component of the equipment. This resulted in the amputation of three fingers.",False,,,,train_candidate
msha_000010,msha,no_injury_event,00,ACCIDENT ONLY,2020-12-16,2020,0404802,M,"STRIP, QUARY, OPEN PIT",MACHINERY,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Shovel, Power shovel, Backhoe, Trackhoe, Dragline - Big Muskie",False,0,[],False,False,Pulling out stuck utility service truck with a backhoe and sustained wheel damage to backhoe.,15,Pulling out stuck utility service truck with a backhoe and sustained wheel damage to backhoe.,False,,,,train_candidate
msha_000027,msha,no_injury_event,00,ACCIDENT ONLY,2021-11-17,2021,1103045,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,A hot spot was discovered on a raw coal pile. This was on the south side of the raw coal storage pad near the wash plant. No one was injured. Equipment is being used to treat and remove the affected material.,41,A hot spot was discovered on a raw coal pile. This was on the south side of the raw coal storage pad near the wash plant. No one was injured. Equipment is being used to treat and remove the affected material.,False,,,,train_candidate
msha_000031,msha,no_injury_event,00,ACCIDENT ONLY,2021-05-14,2021,1201020,M,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Trucks, Service truck, Utility truck, Pickup, Water truck, Fuel truck",False,0,[],False,False,Customer PU had just left the scale house with a load of rock & headed out the north gate. About 100 yards from the gate the customer noticed smoke coming out from under the engine compartment. Customer stopped & saw fire under the hood. Customer called fire department. No injuries just property damage. Customer left scale house 12:36pm & fire was extinguished around 1pm.,64,Customer PU had just left the scale house with a load of rock & headed out the north gate. About 100 yards from the gate the customer noticed smoke coming out from under the engine compartment. Customer stopped & saw fire under the hood. Customer called fire department. No injuries just property damage. Customer left scale house 12:36pm & fire was extinguished around 1pm.,False,,,,train_candidate
msha_000032,msha,no_injury_event,00,ACCIDENT ONLY,2022-05-21,2022,1202418,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,Bad storm caused a power outage. When power was restored the PLC had to be re-programmed.,16,Bad storm caused a power outage. When power was restored the PLC had to be re-programmed.,False,,,,train_candidate
msha_000035,msha,no_injury_event,00,ACCIDENT ONLY,2023-09-07,2023,1401572,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],False,False,Employee was driving loader up to #2 rock pile with bucket too high. Ee stepped on gas and brake pedal at the same time. Lost control and laid the loader on its side. No injury- broken window on loader.,39,Employee was driving loader up to #2 rock pile with bucket too high. Ee stepped on gas and brake pedal at the same time. Lost control and laid the loader on its side. No injury- broken window on loader.,False,,,,train_candidate
msha_000046,msha,fatal,01,FATALITY,2023-07-17,2023,1900020,M,"STRIP, QUARY, OPEN PIT",MACHINERY,Struck by falling object,Machine maintenance,"MACHINE-MILL,CLEANING PLT","UNCLASSIFIED,NOT DETERMED","HEAD,NEC",,1,"Crusher, Breaker, Mills (ball and rod), Feeder breaker",False,0,[],True,True,"EE's working to clean the mainframe arm on primary crusher. During the lift, the rigging assembly appears to have failed, striking the EE who was located in the line of fire.",31,"EE's working to clean the mainframe arm on primary crusher. During the lift, the rigging assembly appears to have failed, striking the EE who was located in the line of fire.",False,,,,train_candidate
