term,variants,meaning,category,safety_signal,safety_signal_raw,example_line,lsr,lsr_raw,confidence,source_hint,merged_from,merge_conflicts,extra_example_lines
AEE,"[""EE"", ""SE"", ""DE"", ""AEE (Drilling)"", ""AEE (P)"", ""AEE sahab"", ""DGM"", ""GM"", ""CGM"", ""ED"", ""officer sahab"", ""sahab""]",Officer grade abbreviations (Assistant Executive Engineer and above) used to refer to the company officer on site.,abbreviation,,none,"AEE (P) sahab ko inform kiya, GGS-1 flare pilot off since morning, gas venting.",,,medium,ONGC grade structure; OIL grades differ,1,,
B/D,"[""BD"", ""breakdown"", ""break down"", ""B/D maintenance"", ""BDM"", ""M/C B/D"", ""B/D me hai""]","Breakdown of equipment, or breakdown maintenance.",abbreviation,,none,"Pump in B/D, fitter repairing belt with drive still connected, LOTO nahi kiya.",,,high,common Indian plant usage,1,,
BBS,"[""behaviour based safety"", ""behavior based safety"", ""BBS observation"", ""BBS card"", ""safety observation"", ""observation card"", ""SO card""]",Behaviour based safety observation programme; BBS cards are one of the channels UA/UC reports arrive through.,abbreviation,statement_cue,statement_type,"BBS observation: fitter using grinder without guard near ETP, SOP nahi follow kar raha.",,,high,ONGC / OIL BBS programmes,1,,
BHA,"[""bottom hole assembly"", ""BHA handling"", ""BHA make up"", ""BHA lagana"", ""BHA break"", ""BHA pickup""]","Bottom hole assembly of drill collars, stabilisers and bit handled on the rig floor.",abbreviation,energy_cue,energy_cue,"BHA handling on rig floor, pickup line frayed, helper standing in line of fire.",Line of Fire,Line of Fire,high,generic drilling; IADC,1,,
CISF,"[""security"", ""CISF jawan"", ""security guard"", ""gate"", ""gate pe"", ""security ne roka""]","Central Industrial Security Force, which guards gates of PSU installations.",abbreviation,,none,"CISF gate allowed tanker without spark arrestor into OCS, checking nahi hua.",,,high,ONGC / OIL security arrangement,1,,
CO,"[""carbon monoxide"", ""CO level"", ""CO reading"", ""CO alarm"", ""DG exhaust"", ""dhuan andar""]","Carbon monoxide, from engine exhaust or fire, a confined space and DG room hazard; not to be confused with C/O changeover.",abbreviation,exposure_cue,exposure_cue,"DG set running inside closed shed at rig camp, CO alarm nahi hai, exhaust andar hi aa raha.",Confined Space,Confined Space,medium,generic oil & gas / confined space practice,1,,
CP,"[""cathodic protection"", ""CP station"", ""CP not working"", ""CP reading"", ""TR unit"", ""TLP"", ""test lead point"", ""CP kharab""]",Cathodic protection system preventing external corrosion of buried pipelines.,abbreviation,control_present,control_present,"CP station at SV-2 not working since 2 months, TLP reading not taken.",,,high,OISD-STD-141 / OISD-STD-214,1,,
CSE,"[""confined space entry"", ""confined space"", ""CS entry"", ""CSE permit"", ""CSEP"", ""vessel entry permit"", ""tank entry"", ""tank ke andar"", ""entry permit""]","Entry into a tank, vessel, pit or other confined space, which requires a separate permit, gas test and standby person.",abbreviation,control_present,control_present,"Two helpers inside crude tank T-2 for sludge cleaning, CSE permit nahi tha, koi standby nahi.",Confined Space,Confined Space,high,OISD-STD-105 work permit system,1,,
CTF,"[""central tank farm"", ""tank farm"", ""CTF me"", ""tank farm area"", ""CTF gate""]",Central tank farm where crude from field installations is stored before despatch.,abbreviation,,none,"CTF tank T-3 roof platform railing missing, gauging chal raha tha.",,,high,ONGC / OIL installation naming,1,,
CTU,"[""coiled tubing unit"", ""coil tubing"", ""CT unit"", ""CTU job"", ""CT reel"", ""injector head"", ""CT job"", ""NPU"", ""nitrogen unit"", ""N2 unit""]","Coiled tubing unit used for well intervention, usually with high pressure pumping and nitrogen units.",abbreviation,energy_cue,energy_cue,"CTU job at well 9, HP hose without whip check, injector head ke niche log khade.",Line of Fire,Line of Fire,high,ONGC / OIL well services usage,1,,
DB,"[""distribution board"", ""DB box"", ""DB open"", ""DB cover nahi"", ""panel"", ""panel open"", ""panel door khula"", ""MCC"", ""MCC panel"", ""PCC""]",Electrical distribution board or motor control panel.,abbreviation,energy_cue,energy_cue,"DB cover open near well site camp, wires exposed, barish me paani ja raha andar.",,,high,common Indian electrical usage,1,,
DCP,"[""dry chemical powder"", ""DCP extinguisher"", ""DCP type"", ""DCP FE"", ""9 kg DCP"", ""DCP cylinder"", ""CO2 extinguisher"", ""CO2 type""]","Dry chemical powder type extinguisher, the most common portable extinguisher on Indian installations.",abbreviation,control_present,control_present,"DCP 9 kg extinguisher near DG set pressure gauge in red zone, refill due since 2024.",Hot Work,Hot Work,high,OISD-STD-189; IS 15683,1,,
DG,"[""DG set"", ""D.G. set"", ""diesel generator"", ""genset"", ""DG room"", ""DG chal raha tha"", ""DG exhaust"", ""DG shed""]","Diesel generator set supplying power at rigs, camps and installations.",abbreviation,energy_cue,energy_cue,"DG set exhaust pipe near HSD drum, running without cover, canopy door open.",,,high,common usage,1,,
DL,"[""driving licence"", ""driving license"", ""DL nahi tha"", ""without DL"", ""license expire"", ""DL expired"", ""valid DL"", ""DL check nahi""]",Driving licence of the driver or operator.,abbreviation,pseudo_control,pseudo_control,"Hydra operator DL expired, RTO renewal pending, still operating at pipe yard.",Driving,Driving,high,Motor Vehicles Act 1988,1,,
DP,"[""drill pipe"", ""DP handling"", ""DP stand"", ""DP racking"", ""DC"", ""drill collar"", ""HWDP"", ""pipe handling"", ""drill pipe uthate samay"", ""casing handling"", ""tubing handling""]","Drill pipe, and by extension tubular handling on catwalk and rig floor.",abbreviation,energy_cue,energy_cue,"DP racking on catwalk, pipe rolling, koi stopper nahi, helper beech me khada.",Line of Fire,Line of Fire,high,generic drilling; IADC,1,,
EIC,"[""engineer in charge"", ""engineer-in-charge"", ""E-I-C"", ""EIC sir"", ""EIC ko inform"", ""EIC sahab"", ""site engineer""]","Company engineer responsible for a contract or job, who signs permits and supervises the contractor.",abbreviation,,none,"Excavation on P/L ROW at KM 12 started without informing EIC, kisi ko pata nahi tha.",,,high,ONGC/OIL contract and PTW forms,1,,
EOT,"[""EOT crane"", ""E.O.T"", ""overhead crane"", ""OH crane"", ""electric overhead travelling crane"", ""EOT hook"", ""EOT limit switch""]",Electric overhead travelling crane in workshops and pump houses.,abbreviation,energy_cue,energy_cue,"EOT crane hook limit switch bypass kiya hua, operator ground se chala raha bina signalman.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,common Indian industry; IS 3177,1,,
ERP,"[""emergency response plan"", ""emergency plan"", ""on-site emergency plan"", ""OSEP"", ""DMP"", ""disaster management plan"", ""mock drill"", ""ERP drill"", ""assembly point""]","Site emergency and disaster management plan, including assembly points and drills.",abbreviation,pseudo_control,pseudo_control,"Contractor crew at well site ERP se unaware, assembly point nahi pata, mock drill kabhi nahi hua.",,,high,Oil Mines Regulations 2017 (DMP); OISD-RP-206,1,,
ESD,"[""emergency shutdown"", ""ESD system"", ""ESD bypass"", ""ESD not working"", ""ESD nahi chal raha"", ""E.S.D"", ""SDV"", ""shutdown valve"", ""SSV"", ""surface safety valve""]","Emergency shutdown system or valve that isolates the process on high pressure, fire or manual trip.",abbreviation,control_present,control_present,"ESD push button at GGS inlet manifold cover broken, SDV kept in manual, bypass position me hai.",Bypassing Safety Controls,Bypassing Safety Controls,high,OISD-STD-116; OISD production installation standards,1,,
ESP,"[""electrical submersible pump"", ""ESP well"", ""ESP cable"", ""ESP panel"", ""VSD"", ""VSD panel"", ""ESP chal raha""]","Electrical submersible pump installed downhole, with high voltage surface cable and panel; not the emergency shutdown ESD.",abbreviation,energy_cue,energy_cue,"ESP well cable joint exposed near wellhead, VSD panel door open, paani bhara hua.",,,high,ONGC / OIL production usage,1,,
ETP,"[""effluent treatment plant"", ""ETP pit"", ""effluent pit"", ""ETP me"", ""effluent""]",Effluent treatment plant handling produced water and oily effluent.,abbreviation,,none,"ETP sludge pit uncovered, night me light nahi, fencing toot gayi.",,,high,common Indian industry usage,1,,
F&S,"[""F & S"", ""fire & safety"", ""fire and safety"", ""F&S dept"", ""F&S section"", ""fire safety wale"", ""fire section"", ""fire wale""]",Fire and Safety department of the installation.,abbreviation,,none,"F&S clearance nahi liya for cutting job at CTF tank dyke, fire tender bhi nahi tha.",,,high,OIL / ONGC department naming,1,,
FAC,"[""first aid case"", ""FA case"", ""FA"", ""first aid"", ""primary treatment"", ""first aid diya""]","Injury needing only first aid, the lowest recordable outcome class.",abbreviation,outcome_cue,outcome,"FA case: minor cut on hand while handling GI sheet at store, gloves nahi pehne the.",,,high,OISD-RP-206; IOGP injury classification,1,,
FE,"[""fire extinguisher"", ""extinguisher"", ""FE nahi tha"", ""fire ext"", ""F.E."", ""fire ex"", ""extinguisher expire"", ""extinguisher khali"", ""अग्निशामक""]",Portable fire extinguisher required at hot work and hydrocarbon handling locations.,abbreviation,control_present,control_present,"Hot work at pump house going on, FE nahi tha nearby, jo tha uska expiry last year.",Hot Work,Hot Work,high,OISD-STD-189 fire fighting equipment for rigs and production installations,1,,
FLP,"[""flame proof"", ""flameproof"", ""FLP fitting"", ""FLP light"", ""FLP motor"", ""non-FLP"", ""non FLP"", ""FLP nahi hai"", ""Ex"", ""Ex-proof"", ""explosion proof"", ""ordinary fitting"", ""normal fitting""]",Flameproof (explosion protected) electrical fitting required in a classified hazardous area.,abbreviation,control_present,control_present,"Non-FLP hand lamp used inside tank dyke area, cable joint open, Zone 1 area hai.",,,high,OISD-STD-113 hazardous area classification; IS 2148,1,,
FRC,"[""fire resistant coverall"", ""FR coverall"", ""FR suit"", ""FRC nahi pehna"", ""boiler suit"", ""dangri"", ""coverall"", ""cotton dangri"", ""dungaree""]",Fire resistant coverall issued for work in hydrocarbon areas; dangri is the common Hinglish word for any coverall.,abbreviation,pseudo_control,pseudo_control,"Welder wearing normal cotton shirt, FRC nahi, sparks near separator drain.",Hot Work,Hot Work,medium,OISD-STD-155; common Hinglish usage (dangri),1,,
GD,"[""gas detector"", ""F&G"", ""fire and gas"", ""F&G system"", ""fixed gas detector"", ""portable gas detector"", ""MGD"", ""multi gas detector"", ""detector kharab"", ""detector not working"", ""detector bypass""]","Fixed or portable gas detection, usually flammable and H2S, at process areas.",abbreviation,control_present,control_present,"Fixed gas detector at compressor shed showing fault, bypass in panel, koi portable GD nahi.",Bypassing Safety Controls,Bypassing Safety Controls,medium,OISD-STD-116; generic oil & gas,1,,
GGS,"[""group gathering station"", ""GGS-1"", ""GGS 3"", ""GGS me"", ""gathering station"", ""GGS site""]",Group gathering station where well fluids from several wells are separated (ONGC term).,abbreviation,,none,"GGS-4 inlet manifold area oil spillage, drain choke, slippery, koi cleaning nahi.",,,high,ONGC installation naming,1,,
GP,"[""gate pass"", ""entry pass"", ""pass nahi tha"", ""bina pass"", ""gate pass nahi"", ""ID card"", ""without ID""]",Gate pass or entry permit for persons and vehicles entering an installation.,abbreviation,pseudo_control,pseudo_control,"Casual labour inside CTF bina GP, contractor supervisor ko bhi pata nahi tha.",Work Authorisation,Work Authorisation,high,common Indian PSU security practice,1,,
H2S,"[""hydrogen sulphide"", ""hydrogen sulfide"", ""sour gas"", ""H2S smell"", ""H2S detector"", ""H2S alarm"", ""gas ki smell"", ""gas ki badbu"", ""गैस की बदबू"", ""sada anda smell""]","Toxic flammable gas present in sour crude and gas, dangerous at low ppm.",abbreviation,energy_cue,energy_cue,"H2S smell near OCS-1 ETP pit, koi detector nahi laga tha, workers bina mask kaam kar rahe.",,,high,Oil Mines Regulations 2017 (sour gas); OISD-STD-174,1,,
HiPo,"[""hi-po"", ""high potential"", ""high potential near miss"", ""HiPo NM"", ""HPNM"", ""high potential incident""]",High potential near miss or incident that could realistically have caused a fatality or serious injury.,abbreviation,statement_cue,statement_type,"HiPo NM: hydra boom touched 11 KV line near GGS gate, operator ne dekha nahi.",,,medium,IOGP Report 459; ONGC HiPo classification,1,,
HIRA,"[""hazard identification and risk assessment"", ""HIRA nahi hua"", ""HIRA register"", ""risk assessment"", ""RA"", ""risk assessment nahi kiya""]",Documented hazard identification and risk assessment exercise for an activity or installation.,abbreviation,pseudo_control,pseudo_control,"New HP jetting job at ETP started without HIRA, SOP bhi nahi hai is job ka.",,,high,OISD-RP-206; common Indian PSU HSE practice,1,,
HMV,"[""heavy motor vehicle"", ""HMV licence"", ""HMV DL"", ""heavy vehicle"", ""HGV"", ""heavy licence nahi"", ""LMV"", ""light motor vehicle"", ""LMV licence"", ""LMV only""]","Heavy motor vehicle licence class; LMV is the light vehicle class, insufficient for tankers and trailers.",abbreviation,pseudo_control,pseudo_control,"Driver of water bowser only LMV licence, HMV nahi hai, 10 KL tanker chala raha.",Driving,Driving,high,Central Motor Vehicles Rules 1989,1,,
HP,"[""high pressure"", ""HP line"", ""HP hose"", ""HP jetting"", ""HP water jetting"", ""HP pump"", ""H.P."", ""high pressure line"", ""HP/LP"", ""LP"", ""low pressure""]","High pressure line, hose or jetting operation.",abbreviation,energy_cue,energy_cue,"HP jetting at ETP without face shield, lance without dead man switch, hose purana.",Line of Fire,Line of Fire,high,common usage,1,,
HSD,"[""high speed diesel"", ""diesel"", ""HSD tank"", ""HSD drum"", ""HSD spillage"", ""diesel gir gaya"", ""HSD bowser"", ""diesel bowser"", ""decanting""]",High speed diesel stored and handled at rigs and installations.,abbreviation,energy_cue,energy_cue,"HSD drum decanting near DG with mobile in hand, spillage on ground, no bund.",,,high,Petroleum Rules 2002; common Indian usage,1,,
HSE,"[""SHE"", ""QHSE"", ""EHS"", ""HSE dept"", ""HSE officer"", ""HSE audit"", ""HSE point""]","Health, safety and environment function or department.",abbreviation,,none,HSE audit point pending: FLP light fitting near GGS-2 separator abhi tak nahi badla.,,,high,common usage,1,,
