id,gold_id,source,record_type,text,words,language,script,sif_potential,confidence,statement_type,statement_type_raw,life_saving_rules,lsr_raw,energy_types,energy_source_raw,barrier,barrier_raw,barrier_status,barrier_status_raw,exposure,trap_type_raw,trap_family,verdict_candidates,rationale,review_flags,split,fold
gold_R001,R001,gold_180,observation,Worker confined space me bina gas testing ke ghus gaya. Koi injury nahi hui.,14,hinglish,latin,YES,0.95,observed,observed,"[""Confined Space""]",Confined Space,"[""chemical""]",oxygen_deficiency,gas_test,gas test and entry permit,absent,failed,present,no_injury_but_sif,domain_scenario,"[""EXPOSURE"", ""P_SIF""]",Zero outcome but atmosphere unverified with person inside.,[],gold_test,3
gold_R002,R002,gold_180,observation,Cardboard box kholte time ungli me chota cut lag gaya. First aid diya.,13,hinglish,latin,NO,0.96,observed,observed,[],NONE,[],none,,none,,not_applicable,present,injury_but_low_sif,low_energy_or_numbers,"[""LOW_ENERGY"", ""NON_EVENT""]",Injury present but no lethal energy.,[],gold_test,2
gold_R003,R003,gold_180,observation,Panel ka LOTO nahi kiya gaya tha aur maintenance chalu tha. 415 V system.,14,hinglish,latin,YES,0.94,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Live LV work with isolation absent.,[],gold_test,3
gold_R004,R004,gold_180,observation,"Suspended pipe achanak hil gaya, worker se lagbhag ek meter door se nikla.",13,hinglish,latin,YES,0.93,observed,observed,"[""Line of Fire""]",Line of Fire,"[""gravity"", ""mechanical""]",suspended_load,exclusion_zone,exclusion zone under load,absent,failed,present,near_miss,domain_scenario,"[""P_SIF"", ""EXPOSURE""]","Load in motion, person within strike radius.",[],gold_test,4
gold_R005,R005,gold_180,observation,Koi bhi worker confined space me nahi gaya aur na hi koi exposure hua.,14,hinglish,latin,NO,0.88,observed,observed,[],NONE,[],none,gas_test,gas test and entry permit,present_effective,intact,absent,negation,negation,"[""LOW_ENERGY"", ""NON_EVENT""]",Explicit negation. Keyword model will wrongly fire.,[],gold_test,4
gold_R006,R006,gold_180,observation,"Pichle mahine ek worker bina gas test ke tank me gaya tha, ab procedure update kar diya gaya hai.",19,hinglish,latin,NO,0.82,historical,historical,"[""Confined Space""]",Confined Space,"[""chemical""]",oxygen_deficiency,gas_test,gas test and entry permit,absent,failed,present,historical_reference,historical,"[""NON_EVENT""]",Historical and already actioned.,[],gold_test,2
gold_R007,R007,gold_180,observation,Agar valve fail ho jaye to personnel toxic gas ke exposure me aa sakte hain.,15,hinglish,latin,UNCERTAIN,0.5,hypothetical,hypothetical,[],NONE,"[""chemical""]",toxic_atmosphere,energy_isolation,containment,unknown,unknown,unknown,hypothetical,hypothetical,"[""NON_EVENT""]",No observed event.,[],gold_test,2
gold_R008,R008,gold_180,observation,"LOTO initially nahi tha, lekin kaam shuru karne se pehle isolation complete kar diya gaya.",15,hinglish,latin,UNCERTAIN,0.55,corrective_completed,corrective_closed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,absent,failed,absent,corrective_done,corrective_completed,"[""INSUFFICIENT"", ""EXPOSURE""]",Barrier failed then corrected before exposure.,[],gold_test,4
gold_R009,R009,gold_180,observation,Isolation ka issue dekha gaya maintenance ke dauran.,8,hinglish,latin,UNCERTAIN,0.35,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,unknown,unknown,unknown,vague_stub,vague_or_unscorable,"[""INSUFFICIENT"", ""EXPOSURE""]",Insufficient detail to determine exposure.,[],gold_test,2
gold_R010,R010,gold_180,observation,Confined space ke andar welding chal rahi thi aur gas test nahi hua tha.,14,hinglish,latin,YES,0.96,observed,observed,"[""Confined Space""]",Confined Space,"[""thermal""]",thermal_fire,gas_test,gas test plus hot work permit,absent,failed,present,multi_rule,multi_rule_or_event,"[""EXPOSURE"", ""P_SIF""]",Two rules apply. Explosive atmosphere risk.,"[""multi_rule_but_single_lsr""]",gold_test,2
gold_R011,R011,gold_180,observation,"Derrick pe 12 meter height pe kaam kar raha tha, helmet ka chin strap khula tha.",16,hinglish,latin,YES,0.88,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,fall_arrest,fall protection and head protection,present_ineffective,degraded,present,ppe_x_height,contradiction_ppe,"[""EXPOSURE"", ""P_SIF""]",Trivial PPE finding becomes fatal precursor at height.,[],gold_test,1
gold_R012,R012,gold_180,observation,"Scaffolding se 1 ft niche gir gaya, ghutne pe halka scratch aaya.",12,hinglish,latin,NO,0.9,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,fall_arrest,fall protection,present_ineffective,degraded,present,numbers_matter,low_energy_or_numbers,"[""LOW_ENERGY"", ""SUCCESS"", ""NON_EVENT""]",The number decides. 1 ft carries no fatal energy.,[],gold_test,4
gold_R013,R013,gold_180,observation,Full body harness pehna hua tha lekin lanyard kahin anchor nahi kiya gaya tha. 8 m height.,17,hinglish,latin,YES,0.94,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,fall_arrest,fall arrest anchorage,absent,failed,present,contradictory_ppe,contradiction_ppe,"[""EXPOSURE"", ""P_SIF""]",PPE present but ineffective.,[],gold_test,2
gold_R014,R014,gold_180,observation,"Sab kuch 'perfect' tha, line isolate karne ki kisi ne zaroorat hi nahi samjhi.",14,hinglish,latin,YES,0.8,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,absent,failed,unknown,sarcasm,sarcasm_minimising,"[""EXPOSURE"", ""P_SIF""]",Sarcastic framing hides a real isolation failure.,[],gold_test,4
gold_R015,R015,gold_180,observation,"High pressure line damaged mili, area isolated tha aur koi personnel present nahi tha.",14,hinglish,latin,YES,0.75,observed,observed,[],NONE,"[""pressure""]",pressure,energy_isolation,primary containment,absent,failed,absent,process_safety_no_exposure,domain_scenario,"[""EXPOSURE"", ""P_SIF""]",Loss of containment is a process-safety precursor.,"[""sif_yes_no_lsr"", ""exposure_absent_but_sif_yes""]",gold_test,0
gold_R016,R016,gold_180,observation,"Monsoon me cellar pit me paani bhar gaya, workover operations chal rahe the.",13,hinglish,latin,YES,0.8,observed,observed,"[""Work Authorisation""]",Work Authorisation,"[""pressure""]",pressure,energy_isolation,BOP access and cellar drainage,present_ineffective,degraded,present,india_monsoon,india_context,"[""EXPOSURE"", ""P_SIF""]",Flooded cellar may block well-control access.,[],gold_test,2
gold_R017,R017,gold_180,observation,"Excavation 2.5 m deep thi, shoring nahi lagayi gayi, do worker andar kaam kar rahe the.",16,hinglish,latin,YES,0.93,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""gravity""]",excavation_collapse,exclusion_zone,shoring or benching,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Unshored trench with occupants.,[],gold_test,2
gold_R018,R018,gold_180,observation,Gas detector ka reading zero aa raha tha aur calibration due tha. Compressor shed area.,15,hinglish,latin,YES,0.78,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""chemical""]",toxic_atmosphere,gas_test,gas detection,absent,failed,unknown,detection_barrier,capacity_or_barrier_status,"[""EXPOSURE"", ""P_SIF""]",Absence of alarm is not absence of gas.,[],gold_test,1
gold_R019,R019,gold_180,observation,Hot work permit expire ho chuka tha lekin welding tank ke paas continue thi.,14,hinglish,latin,YES,0.9,observed,observed,"[""Hot Work""]",Hot Work,"[""thermal""]",thermal_fire,ptw,valid permit to work,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Ignition source near hydrocarbon storage without authorisation.,[],gold_test,2
gold_R020,R020,gold_180,observation,Crane ka outrigger soft soil me dhas raha tha jab load suspended tha.,13,hinglish,latin,YES,0.9,observed,observed,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,"[""gravity"", ""mechanical""]",suspended_load,other,ground bearing assessment,absent,failed,present,india_soft_soil,india_context,"[""EXPOSURE"", ""P_SIF""]",Crane tipping with suspended load.,[],gold_test,2
gold_R021,R021,gold_180,observation,Worker ne bina SCBA ke H2S suspected area me entry ki.,11,hinglish,latin,YES,0.96,observed,observed,"[""Confined Space""]",Confined Space,"[""chemical""]",toxic_atmosphere,gas_test,respiratory protection and gas test,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",H2S causes rapid unconsciousness.,[],gold_test,1
gold_R022,R022,gold_180,observation,Nil,1,english,latin,UNCERTAIN,0.05,condition_only,unscorable,[],NONE,[],none,,none,unknown,unknown,unknown,unscorable,vague_or_unscorable,"[""INSUFFICIENT""]",Placeholder text.,"[""very_short_text""]",gold_test,2
gold_R023,R023,gold_180,observation,Same as above,3,english,latin,UNCERTAIN,0.05,condition_only,unscorable,[],NONE,[],none,,none,unknown,unknown,unknown,unscorable,vague_or_unscorable,"[""INSUFFICIENT""]",Reference without linkage.,"[""very_short_text""]",gold_test,3
gold_R024,R024,gold_180,observation,Achha kaam - team ne excavation ke around sahi barricading lagayi thi.,12,hinglish,latin,NO,0.92,observed,positive,[],NONE,[],none,exclusion_zone,barricading,present_effective,intact,absent,positive_observation,positive_observation,"[""LOW_ENERGY"", ""NON_EVENT""]","Good-practice entry, exclude from denominator.",[],gold_test,4
gold_R025,R025,gold_180,observation,Kripya GGS-3 ke area me extra lighting provide kiya jaye.,10,hinglish,latin,NO,0.88,hypothetical,suggestion,[],NONE,[],none,,none,,not_applicable,absent,suggestion_type,hypothetical,"[""NON_EVENT""]","Improvement request, not an event.",[],gold_test,0
